Airline,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Weekly Avg
NK,12.56,11.0,8.99,9.7,10.46,10.46,11.33,10.64
F9,10.31,9.5,8.68,8.51,8.66,8.95,8.83,9.06
B6,8.53,8.69,6.54,8.3,6.93,6.33,7.97,7.61
MQ,9.63,7.0,6.84,7.01,7.86,5.4,7.75,7.36
UA,8.4,8.04,7.47,7.45,6.53,5.69,6.59,7.17
EV,7.91,7.08,7.02,7.01,5.85,4.93,6.2,6.57
OO,7.11,6.18,6.16,6.01,5.7,4.8,6.22,6.03
VX,6.4,5.35,3.38,6.75,6.45,3.12,8.65,5.73
AA,6.31,4.42,4.96,5.8,5.87,5.27,5.51,5.45
WN,5.57,5.11,4.59,5.38,5.21,4.5,5.18,5.08
US,5.5,5.56,3.17,4.55,4.79,3.82,5.15,4.65
DL,4.65,4.7,4.05,4.61,3.63,3.02,3.39,4.01
AS,3.21,2.67,2.35,3.15,3.32,2.61,3.3,2.94
HA,1.87,0.83,1.12,1.39,2.45,1.44,1.02,1.45
